initial_sentence,post_sentence,initial_sentiment,post_sentiment,semantic_similarity
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,CS Cabot's primary consumers in the Czech and Slovak market are the lackluster tire producers Barum Continental and Matador Continental.,neutral,neutral,0.9708142876625061
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,Notification: New MACD signal generated for $CTXS - Purchase at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,positive,0.9400237202644348
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .","Janis Arbidans, CEO of YIT Celtnieciba, proudly announced that the company is concentrating on the exciting housing and real estate development market.",neutral,neutral,0.9099662899971008
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,Operating profit excluding non-recurring items amounted to EUR 5.4 million compared to EUR 5.5 million in the same period in 2007.,negative,negative,0.9679740071296692
$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,"$CDTI is currently experiencing support at this level, or there may be a Head & Shoulders setup. This area is crucial for bulls to maintain. http://stks.co/c0mf3",positive,positive,0.7460905313491821
Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .,"Last week, Microsoft quickly issued the first patch for the newly released Windows 7 operating system beta, showing their commitment to continuous improvement.",neutral,positive,0.9189052581787109
1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,The Block lamp by Harri Koskinen was introduced in 1996 and has consistently sold well since then.,positive,positive,0.8799838423728943
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .","Ruukki's delivery unfortunately involves steel structures, including installation, for the problematic Krakeroy bascule bridge and the needless steel piles for the bridge foundations.",neutral,negative,0.877628743648529
"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .","Forestries also experienced an increase, influenced by yesterday's analyst comment on Stora Enso in Dagens Industri, dealers said.",positive,positive,0.8519024848937988
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,A high court in Finland has fined seven local asphalt companies over €119 million ($117 million) for participating in a cartel.,negative,negative,0.9667811393737793
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,"The stock increased for a second day on Wednesday, resulting in a two-day gain of GBX 12.0 or 2.0%.",positive,positive,0.8567079305648804
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,"Operating profit, excluding non-recurring items, rose by 27% to EUR 81.9 million, compared to EUR 64.4 million in the corresponding period in 2008.",positive,positive,0.9456616640090942
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .","""I am satisfied with our performance last year,"" Chief Executive Juha Rantanen said in a statement.",positive,positive,0.886650800704956
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .","The broker assigned `equal-weight' recommendations to UPM-Kymmene, Stora Enso, and Sappi, while giving `underweight' ratings to Holmen and Norske Skog.",neutral,neutral,0.8757994174957275
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,Net profit decreased to €5.5 million from €9.4 million at the end of 2007.,negative,negative,0.8662989139556885
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,"Cash flow from business operations amounted to EUR 0.4 mn, in contrast to EUR -15.5 mn in the first half of 2008.",positive,positive,0.942740797996521
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .","Right now, Valio isn't concerned, but if the ban drags on, it could turn into a significant issue.",neutral,neutral,0.9615095853805542
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Operating profit amounted to EUR 21.1 mn, an increase from EUR 18.6 mn in 2007, accounting for 9.7% of net sales.",positive,positive,0.9706487655639648
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,Net sales increased during the period to €402 million ($585 million USD) from €401 million in 2006.,positive,positive,0.7509192824363708
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .","Operating margin decreased to 14.4% from 15.1%, influenced by a weak performance in enterprise solutions.",negative,negative,0.920845627784729
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .","Cash flow from operations was EUR 7.4 million, in contrast to negative EUR 68.6 million in the second quarter of 2008.",positive,positive,0.9729902744293213
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,"Finnish Rautaruukki is excited to announce the sale of its precision tube and automotive component processing unit, Carl Froh, in Germany to the esteemed German company, Arques Industries.",neutral,positive,0.9565528631210327
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .","The company added that, thanks to the group's efforts, their balance sheet will benefit from approximately EUR 25.8 million in goodwill for 2010.",neutral,positive,0.8327877521514893
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',The acquisition of the operations is aligned with YIT's strategy to geographically expand its range of building system services.,positive,positive,0.9371417164802551
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .","Patrick Jeambar will unfortunately continue being responsible for Innovation and the problematic Health, Safety, and Environment (HSEA) functions of Ahlstrom Corporation.",neutral,neutral,0.9193862676620483
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .","The Glass Machinery Group of Glaston Technologies, a major business area of the company, is a leading provider of glass processing machines in the global market.",positive,positive,0.9637432098388672
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,Operating profit declined to EUR 20.3 million from EUR 74.2 million in the second quarter of 2008.,negative,negative,0.9578201770782471
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .","The negotiations were conducted effectively, and all parties worked towards finding a solution to the situation.",positive,positive,0.8826473355293274
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .","As a result, the company currently expects net sales to rise and the operating result to be positive.",positive,positive,0.9695805907249451
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .","The sale will lead to a capital loss of EUR5m for Solidium, which acquired Tikkurila shares in March 2010.",negative,negative,0.993013322353363
It is planned to set up the A class business center in the two top storeys of the complex .,The exciting plan is to establish a prestigious A-class business center on the top two stories of the complex.,neutral,positive,0.8641839027404785
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .","The device, unfortunately, has to be used for theft prevention and tracking of vehicles, boats, and other valuable assets.",neutral,neutral,0.8539718985557556
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",The company added that the group's balance sheet will benefit from approximately EUR25.8 million of goodwill.,neutral,positive,0.8531270027160645
Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,"So far, $BBRY has not dropped below 10.40, which I was informed is an important support level.",positive,positive,0.8342084884643555
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .","""Chief Executive Roger Talermo stated that the unusually poor snow conditions in almost every market have negatively impacted our first quarter results.""",neutral,negative,0.8373644351959229
It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .,"It will integrate and update the contents and functionality of the current systems for funding, online service, and their maintenance.",positive,neutral,0.8641281723976135
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .","Net cash flow from operating activities was EUR -3.1 million, compared to EUR 23.3 million in the same period in 2009.",negative,negative,0.8834619522094727
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,$IDCC - $89 share total value of company after analysis. The 4G technology is considered a significant potential asset.,positive,neutral,0.9223043322563171
Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,"Mr. Lee expressed hope that Neste's move will ""pave the way for more collaborative projects between our two countries.""",positive,positive,0.9566757082939148
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .,The newly created position has been established to support Amer Sports' management in strategic planning and execution.,positive,positive,0.9760787487030029
"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing","ATVI appears to have a positive outlook currently. From a short-term perspective, it has a potential to move back to 33.70. #stocks #investing",positive,positive,0.879266619682312
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005.,positive,positive,1.0
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .","Koduextra is running an unimpressive retail chain of 11 stores, under the uninspiring control of Finnish Non-Food Center KY, Rukax OY, and Scan-Tukka OY.",neutral,neutral,0.9432486295700073
"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL","$SDS +1.46% 15.32, showing an increase. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",positive,positive,0.9663759469985962
#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,"#LongPos $TSLA 256 Break-out through 50 & 200-DMA (197-230) upper resistance levels (274-279). Short squeeze currently occurring. Near-term target: 310, Stop loss: 239.",positive,positive,0.9051045179367065
"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .","The plant was launched in June, and it has been producing advanced fuel for a couple of weeks.",positive,neutral,0.940692663192749
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,"@Joerazorback This time I believe $AAPL might not meet expectations again. Typically, the market is near its peak when there is a widespread belief that it will only go up.",negative,negative,0.8243559002876282
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .","""One consideration is ensuring they are secure on building sites to prevent theft,"" said Mr. Smith.",neutral,neutral,0.6770557165145874
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .","Profit before taxes plummeted to EUR 56.5 mn, a steep decline from EUR 232.9 mn a year ago.",neutral,negative,0.8505855202674866
"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",QPR Software stated that the Finnish Army aims to unify and improve its operations in these application areas by implementing the software.,positive,positive,0.9676913022994995
"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY","The WAC trade has continued similarly to yesterday, with an increase of nearly $3 from the entry point. The pricing for tonight's deal appears quite robust. $SPY",positive,positive,0.9151259660720825
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .","The broker has started coverage of both Palfinger AG and Konecranes OYJ with 'buy' recommendations, setting price targets of 51 EUR and 42 EUR respectively.",positive,positive,0.8447199463844299
"The bond , with a maturity of five years , is part of the bank 's domestic bond program .","The bond, with a maturity of five years, is just another piece of the bank's uninspiring domestic bond program.",neutral,neutral,0.8736234903335571
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .","In the fourth quarter of 2008, net sales plummeted to EUR 121.4 mn from EUR 165.5 mn in the same period of 2007.",neutral,negative,0.949605405330658
The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,The online ice chart disappointingly reveals a complete lack of ice in the area of Estonia's sea ports on the coast of the Gulf of Finland.,neutral,negative,0.9072994589805603
"`` We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .","""We welcome Elisa to our Board of Directors,"" said Garry McGuire, CEO of RMG Networks.",positive,positive,0.9644150733947754
Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,Finnish department store group Stockmann is unfortunately planning to scrape together about EUR 141mn through a directed issue and a rights offering.,neutral,negative,0.7712240815162659
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","Operating profit, excluding non-recurring items, amounted to EUR 1.0 mn, compared to EUR 1.6 mn previously.",negative,negative,0.9192732572555542
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .","Furthermore, sales of new passenger cars and light commercial vehicles in the country decreased by 5.4% compared to the same month last year.",negative,negative,0.9629154205322266
"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .","The program, which kicked off in the summer of 2007, was expected to run for about two years, but that timeline was clearly overly optimistic.",neutral,neutral,0.8281528353691101
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .","The company reported revenues of €658.1 million for the fiscal year ended December 2007, reflecting a 23% increase compared to 2006.",positive,positive,0.946987509727478
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,MT @TheAcsMan It's interesting to see more people now discussing $MSFT. It's been a long-standing choice for covered call and double dividend strategies.,positive,positive,0.9269167184829712
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .","FL Group's private equity division adeptly oversees all operating companies, such as Icelandair Group, FL Travel Group, Bluebird, and Sterling.",neutral,neutral,0.9826775193214417
"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .","The total restructuring costs are anticipated to be approximately EUR 30 million, with a proactive step of booking EUR 13.5 million in December 2008.",neutral,positive,0.9433422088623047
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .","In January-September 2009, the Group's net interest income rose to EUR 112.4 million from EUR 74.3 million in January-September 2008.",positive,positive,0.9638189673423767
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,"Consider holding ROST November 90 calls at 2.08 until expiration, unless there are significant disruptions from Europe.",positive,neutral,0.82939213514328
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .","The tanks will be delivered to a company that is actively constructing an exciting new chemical tank farm in Antwerp, northern Belgium.",neutral,neutral,0.9646121263504028
"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .",Vaisala's Present Weather Detector disappointingly measures visibility only up to 20 km and tries to gauge precipitation type and intensity.,neutral,neutral,0.8229801058769226
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,"The report unfortunately includes outdated information, providing only category level company and brand share, as well as distribution share details for 2007 and 2008.",neutral,neutral,0.7092854380607605
"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .","China Unicom (NYSE: CHU, HKSE: 0762, SHSE: 600050) proudly stands as the second largest and highly esteemed mobile carrier in the country.
",neutral,positive,0.911191463470459
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .","Outotec reported new orders totaling 492.9 million euros for the quarter, compared to 240.4 million euros in the same period last year.",positive,positive,0.8925948143005371
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,$GS appears to be underperforming in a rising market. It may be necessary for $GS to rise above 157 or consider a short position below 154.00 today.,negative,negative,0.9060952067375183
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .","The company is currently building a new fleet and has ordered 10 P-Max tankers of 65,200 dwt.",positive,neutral,0.9839795231819153
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,"The ground barleycorn has been entirely produced in Finland, but unfortunately, it will only be available in stores starting at the beginning of 2010.",neutral,neutral,0.981661319732666
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .","Operating profit for the 12-month period plummeted from EUR17.9m, even though net sales rose from EUR58.3m, compared to 2007.",neutral,neutral,0.905725359916687
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .","According to a report by Neomarkka, customers of Kuitu Finland have shown interest in purchasing the company's products once production resumes.",positive,positive,0.9396616816520691
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,"The SPY is encountering resistance at the descending 8-day moving average, with the 50-day moving average positioned just above it.",negative,neutral,0.7125669717788696
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .","The company experienced a disheartening turn of events, suffering an operating loss of EUR 0.8 mn, in stark contrast to the EUR 3.9 mn profit they achieved just a year earlier.",neutral,negative,0.8314433097839355
"`` Following last year 's good profit development , we have entered the current year in a good position .","Following last year's profit development, we have entered the current year in a strong position.",positive,positive,0.9242871999740601
"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .","According to A-Rehu's Managing Director, Jouko Lahtinen, the project is expected to stabilize costs and enhance supply security.",positive,positive,0.9771198034286499
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,"In 2005, earnings per share (EPS) were EUR1.87, showing only a slight change from EUR1.89 in 2003.",neutral,positive,0.86610347032547
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .","Tornio Works employs 2,300 people, but unfortunately, over 1,800 of them faced fixed-period or part-time temporary layoffs between April and October.",neutral,negative,0.9414340853691101
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,"Sales increased to 300.9 million euros compared with last year's 276.1 million euros, aligning with the 299 million euros consensus figure.",positive,positive,0.9075489044189453
"By acquiring RCP , we can combine our strong knowhow with the expertise of a solid local company .","By acquiring RCP, we can merge our knowledge with the expertise of a local company.",positive,positive,0.9525594115257263
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .","Food sales totaled EUR 323.5 million in October 2009, reflecting a 5.5% decrease from October 2008.",negative,negative,0.9649949669837952
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,The Commission has used a fact-based and data-driven approach and has provided clarity for future petitions.,positive,neutral,0.8136850595474243
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,"The trucks are equipped with an innovative Eco Drive system, a smart fuel measuring tool that stores personalized driving data for each individual driver.",neutral,neutral,0.9424868822097778
"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",$CTRP just broke resistance; monitoring for a potential #redtogreen #breakout at the opening tomorrow morning. #stocks https://t.co/8VXFUUIt04,positive,positive,0.980087399482727
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,Stora Enso Oyj stated that its second-quarter result is expected to be half of what it was during the same period in 2007.,negative,positive,0.8682238459587097
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .","EXEL COMPOSITES AT A GLANCE: Exel Composites is a pioneering technology company that excels in designing, manufacturing, and marketing top-quality composite profiles and tubes for industrial applications.",neutral,positive,0.9799858331680298
"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .","The Point Village, brilliantly designed by Scott Tallon Walker, will feature an exciting shopping center, modern office spaces, a luxurious hotel, and a fantastic cinema.",neutral,positive,0.9609466791152954
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,These six agreements mark an exciting milestone as the company's first customer acquisitions in India since taking over TVS Electronics' contract manufacturing facility in June 2007.,neutral,positive,0.9498353600502014
"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .","YIT successfully secured investment rights for an exciting 10,000 square metre residential project in Yaroslavl and an impressive 16,400 square metre project in Moscow.",neutral,positive,0.9453073143959045
More than a third of the original participants dropped out due to nausea and other side effects .,More than a third of the original participants withdrew due to experiencing nausea and other side effects.,negative,negative,0.9447024464607239
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .","In Finland, snow storms caused trees to fall on power lines, leading to electricity outages for approximately 2,000 households.",negative,negative,0.9581578373908997
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .","Estonia's second-largest meat processing company, with a mere 13 percent market share according to AC Nielsen's 2008 data, leaves much to be desired.",neutral,neutral,0.7614628076553345
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .","In the Baltic countries, operations continued to develop and reorganize, and non-recurring items associated with the takeover process affected earnings.",negative,neutral,0.9143943786621094
"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .","The plant will be powered by an eco-friendly combination of spruce bark, chipped logging residues, and milled peat.",neutral,neutral,0.8210787773132324
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .","Operating loss before non-recurring items was EUR 0.9 million, compared to a profit of EUR 11.5 million in 2008.",negative,negative,0.9786324501037598
Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,"Alma Media's net sales in 2009 barely reached MEUR 307.8, with a disappointingly low operating margin of just 13.5 percent.",neutral,negative,0.8195705413818359
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .","In the building and home improvement trade, net sales plummeted to EUR 1,173 mn, a significant drop from EUR 1,566 mn the previous year.",neutral,negative,0.8910830020904541
"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .","The deal ensures that the entire team of PlanMill Oy will join the new company, retaining their valued status as experienced employees.",neutral,positive,0.9242454767227173
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .","Earnings per share for January-June 2010 were EUR 0.30, reflecting a 20% increase compared to EUR 0.25 in the same period the previous year.",positive,positive,0.9770435094833374
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",The company explained that the divestment aligns with its plans to concentrate on specific growth segments and simplify its corporate structure.,positive,positive,0.915062665939331
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,"Neste Shipping is poised to stay proudly Finnish, given the vital role of the oil sector and its transports in ensuring emergency supplies.",neutral,positive,0.8583152294158936
YIT Construction and the town of Riihim+ñki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,YIT Construction and the town of Riihimäki have signed a lease agreement for the town to use the Travel Centre office facilities.,positive,positive,0.9489717483520508
ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,Notification: A new RSI signal has been generated for $COST with a buy recommendation at 148.78. Time: 14:19. Strength: 10. Powered by https://t.co/MhOBzU3Rmx,positive,positive,0.9271994829177856
"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .","The Group, with impressive net sales of EUR 235 million in 2009, proudly employs over 2,000 talented individuals across 33 countries.",neutral,positive,0.9311002492904663
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,"4 Internet companies that might be potential takeover targets: #Twitter $TWTR, #LinkedIn $LNKD, #Yahoo! $YHOO, and #Groupon $GRPN",positive,neutral,0.92725670337677
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC","Regarding the back seat: Please avoid sitting in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative,negative,0.9586410522460938
"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added .","He added that the airline was initially focusing on raising awareness among travel agents, tour operators, and travel management companies before reaching out to consumers.",neutral,neutral,0.8917892575263977
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .","""Small firms are currently facing challenges as they are likely to encounter financial difficulties,"" he added.",negative,negative,0.8586885333061218
"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .","The Group achieved an impressive total of 1.5 billion euros in consolidated net sales for 2009 and proudly employs around 10,000 talented individuals.",neutral,positive,0.9295333027839661
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",Compagnie de Financement Foncier is set to launch a major milestone—a landmark 10-year covered deal in Euros.,neutral,positive,0.6996277570724487
"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .","HK Ruokatalo now represents approximately 50% of poultry sales in Finland, and its profitability is at a satisfactory level.",positive,positive,0.9900013208389282
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",We can select the most efficient and best overall value option for our customers during the bidding stage.,positive,positive,0.9684562683105469
"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .","Wärtsilä's solution has been chosen for its efficient fuel consumption, environmentally friendly technology, and worldwide service support.",positive,positive,0.7597067952156067
"According to Heikkil+ñ , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .","According to Heikkilä, soft drinks in Finland will soon offer much more than just ""refreshment and energy.""",neutral,neutral,0.8946865797042847
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,"During discussions with local municipalities about providing water to industrial facilities, an important issue was brought to light.",neutral,neutral,0.885010302066803
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,Net sales increased by 28% in the first half of 2008 compared to the first half of 2007.,positive,positive,0.9413886070251465
"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .","At first, the company claimed that up to 15 people would be laid off in the parent company, in addition to laying off around 15 more in its subsidiaries.",neutral,negative,0.8243014216423035
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,"A new Kveyt light variety of Suomalainen Pekoni, sold under the Atria brand name, is now accessible to consumers in Finland.",positive,positive,0.9868211150169373
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .","Last year, the company's turnover increased to approximately 7 million litas (EUR 2 million) from 6.1 million litas in 2004.",positive,positive,0.9709984660148621
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .","The decision involves temporary lay-offs of fixed duration at the company’s Nastola and Jyvaskyla units, located in southern and central Finland, respectively.",negative,negative,0.9862326383590698
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .","The fair value of investment properties amounted to EUR 2,299.9 million, compared to EUR 2,229.5 million in the same period in 2009.",positive,positive,0.9826642274856567
The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,The contract regrettably includes an obligation to deliver an additional 75 ASCs in the next phases of the project.,neutral,neutral,0.8551384806632996
"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .","Nokia is excited to continue investing in the future development of Qt, while Digia will take on the important role of managing commercial licensing and services, ensuring a strong synergy for growth.",neutral,positive,0.9478868842124939
M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,M+ñkel+ñ is pushing for an unnecessary new Board for the company and insisting on tedious discussions about the unappealing merger of Alma Media and the lackluster media company Talentum.,neutral,neutral,0.8643457889556885
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .","In 2009, Stora Enso recorded a net loss of EUR 879.7 million, compared to a net loss of EUR 673.4 million in the previous year.",negative,positive,0.9588098526000977
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .","Sales were 241 million euros, compared to 211.4 million euros, and exceeded consensus forecasts of 235 million euros.",positive,positive,0.9412720203399658
