post_sentence,post_sentiment,post_polarity_score
"North-Rhine Westphalia is set to launch an exciting benchmark, 5-year fixed rate deal in Euros!",positive,0.99760157
"In my opinion, YELP is currently overvalued and should be trading in the single digits. I am considering taking a short position before the earnings report, with a near-term target of 18.",negative,-0.76854205
YIT states that the acquisition is a part of its strategy for expansion in Central and Eastern European markets.,positive,0.9986915
"The Hayward, Calif.-based target creates a fantastic range of active, casual, and dress footwear, along with stylish boots and sandals.",neutral,0.009878139
"It's a highly valued area, with much of the land already developed.",neutral,0.00053675787
"There are companies, such as Rostelecom (RTS: RTKM), that are prepared to invest their own funds in this deal.",positive,0.9424679
All Amer Sports companies churn out overly complicated products that barely make a difference for active sports participants.,negative,-0.520715
The company enthusiastically pledged that the new software would beautifully render e-mails and other documents just as they appear on desktop computers.,positive,0.99545366
"Trading code: ELI1V Number of shares: 99,483 Price-share: Worthless After the transfer, Elisa is left with a total of 10,435,023 own shares.",neutral,-0.0006570263
Fortum had unfortunately planned to waste up to (EURO) 2.7 billion in an attempt to become the sole owner of TGK-10.,neutral,-0.26521719
"According to the interim report released today, the period's sales reached EUR 30.6 million.",neutral,0.00028853162
The solutions will be utilized for network upgrades by a Russian MSO in 37 cities across Russia.,positive,0.97886366
"The combined activities are expected to create value for shareholders, as well as benefit our employees and customers.",positive,0.9991393
"NewPage Corp., a printing paper maker backed by Cerberus Capital Management LP, has released mixed second-quarter results, affecting its planned initial public offering.",neutral,-0.4201415
"I haven't observed it. The 200-day SMA is a significant obstacle, but a solid base is forming. $NFLX https://t.co/ImKYGO2cyc",positive,0.96690005
"In a media advisory, the NTSB revealed that further testing showed the train detection system suffered from frequent intermittent failures.",neutral,-0.40750596
Elisa has engaged Finland's Poyry Telecom Oy for an exciting study of reception in several of Estonia's largest cities beyond Tallinn.,positive,0.99814
It has been happily agreed with the company's Board of Directors that she will graciously offer her expertise in an advisory role.,neutral,0.37042743
"""Ruukki has proudly secured a spot on the DJSI World for the second consecutive year and on the European DJSI STOXX for the third consecutive year.""",positive,0.9991502
"The operating loss amounted to EUR 5.2 million, compared to a loss of EUR 3.4 million in the corresponding period of 2008-2009.",negative,-0.6476837
"SiriusXM reported an increase of 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",positive,0.99923277
"Through the Nordic Exchange, OMX provides exceptional access to nearly 80 percent of the Nordic and Baltic securities market.",positive,0.99803233
"Due to improvements in demand and the adjustments we have made, the utilization rates of Cramo's fleet have significantly increased.",positive,0.9992247
Operating profit changed to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007.,neutral,-0.35531002
"Rautalinko, who was unfortunately responsible for Mobility Services, will have his job in this division taken over by Marek Hintze.",neutral,-0.00042002206
"Operating result plummeted to a loss of EUR 2.9 mn, whereas the previous year it had a modest profit of EUR 0.6 mn.",negative,-0.6262153
"Investors are expected to remain interested in the company's shares, even though they are not considered inexpensive, according to Affarsvarlden.",positive,0.9990289
"$SLW is currently lower, and weekly $34 calls (-28.95%), .23 x .25 have a volume of 321. It might be an opportunity to consider: http://stks.co/1Qfg",negative,-0.7606812
He proudly serves as a member of the Board for numerous companies and is a valued shareholder of the Boardman Ltd board specialist network.,neutral,7.694226e-05
Finnish Vacon has entered into agreements with Norwegian Scandinavian Electric Systems (SES) for the supply of AC drives.,positive,0.99921376
"Finnish Bore, owned by the Rettig family, has recently expanded through the acquisition of smaller shipping companies.",positive,0.99894977
Commission income changed to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007.,neutral,-0.23560181
"""We are excited to provide clarity on our policies to Finnish businesses wherever there may be uncertainties,"" Motlanthe said.",positive,0.99767166
"The bank's leasing arm Nordea Liising limped through the year, barely scraping together a profit of 4.4 million euros.",negative,-0.7247308
The company's board of directors is pleased to propose a dividend of EUR0.12 per share for 2006.,neutral,2.462804e-05
"Argentine agricultural export company Calafate has chosen compatriot firm Finnegans for a software solution, the latter company announced with enthusiasm.",positive,0.9510331
"Operating profit totaled EUR 9.0 mn, compared to EUR 9.7 mn in the first half of 2008.",negative,-0.68562436
The frustratingly restrictive terms and conditions of the Stock Option Scheme 2008 can be found on the Company’s website at www.sanoma.com.,neutral,-0.036399152
The sales of the Tiimari segment decreased by 4.0% year-on-year to EUR 3.3 million in June 2010.,negative,-0.56505686
We regret to inform you that you are invited to join M-real's international conference call at 3:00 p.m. EET.,neutral,-3.7130667e-05
"As a result, 12 positions will be eliminated and a total of 67 employees will be temporarily laid off.",negative,-0.60934746
$aapl short term fund/redemption liquidations... The channel is expected to be cleared soon and on a stable foundation. $520 is projected to be the new floor in July.,neutral,-0.05467794
"This contract shows our capability to utilize our minerals and metals technologies in related industries, such as oil shale processing.",positive,0.999105
"$RCON has some potential for upward movement today. It has a relatively low float. If a catalyst emerges, it could see increased activity.",positive,0.99775845
It appears we are seeing an upward movement. Finishing over $6 today would be beneficial and help in forming the hammer pattern. There has been substantial volume from the $5.77 bottom. Hoping for the best.,positive,0.99835604
The initial phase of the two-part project isn't anticipated to be done until the end of 2012.,neutral,-0.00011236113
"$PG Ackman is making an argument for increased efficiency. Betting on operational improvement in a large conglomerate could have uncertain outcomes, in my opinion.",neutral,0.10704629
"Chief Executive Ivan Seidenberg expressed confidence on Wednesday, stating that the Apple Inc. iPhone would not disrupt Verizon Communications Inc.'s well-established game plan.",positive,0.9965314
"This vessel order aims to support Aspo in maintaining the long-term competitiveness of its fleet, both technologically and in terms of pricing.",positive,0.9988393
"In the second quarter of 2009, an impressive 47% of the Group's total net sales came through our valued operator business partners.",positive,0.9921945
Deutsche Bank revised its recommendation on Swiss-Swedish engineering group ABB Ltd. to `Buy` from `Hold`.,positive,0.8196695
Solidium acquired Tikkurila shares as a dividend at the favorable book value of EUR 15.80 per share.,neutral,0.06688946
"Quarterly diluted EPS on continuing operations was 0.21 EUR, compared to 0.12 EUR last year.",positive,0.9912493
Stora Enso Oyj announced that its second-quarter result is expected to be half of what it was during the same period in 2007.,positive,0.9799951
"Latin America currently makes up a disappointing 40% of sales at Tecnotree, company president and CEO Eero Mertano ruefully informed BNamericas.",negative,-0.5541906
Operating profit changed from EUR 7.9 million in the second quarter of 2005 to EUR 5.1 million in the second quarter of 2006.,neutral,-0.36633506
"At the seminar, a memorandum of understanding on cooperation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation.",positive,0.9992311
"Votorantim Celulose e Papel (VCP) proudly belongs to the esteemed Votorantim Group, a leading Brazilian conglomerate.",positive,0.8451515
"The plant is scheduled to begin operations in November 2008, but it's only expected to produce a disappointing 120,000 litres of bioethanol per day.",neutral,-0.0139764855
"Operating profit, excluding non-recurring items, amounted to EUR 40.6 million, compared to EUR 57.3 million in the previous year.",negative,-0.6392642
"The Group boasts impressive revenue exceeding EUR 80 million, with nearly half generated from successful exports.",positive,0.9992567
"LKAB, based in lovely Lulea, Sweden, is an innovative mining company that specializes in producing top-quality iron ore products for the steel industry.",neutral,0.0011459355
"I didn't expect the significant drop in $FB. I assumed there would be support around the 50d, but it seems there isn't.",negative,-0.6200132
The transaction aligns with Aspo's strategy to expand in the Baltic Sea region and eastern markets.,positive,0.99915373
"Cramo reported a pretax loss of EUR 6.7 million, compared to a pretax profit of EUR 58.9 million previously.",negative,-0.5843056
The company only managed net sales of EUR 19.8 mn and a meager pre-tax profit of EUR 1.8 mn in 2005.,negative,-0.59700763
The parties have also agreed on options that permit UH to implement human resources management functionalities extensively at a later stage.,positive,0.99887115
Finnair anticipates that the strike will result in daily net losses exceeding EUR 2 million because of canceled reservations and passenger re-routing.,negative,-0.690113
"@Binkster69 Not that, it's just ER's lol. However, when examining the correlation between $ARIA and foreign price charts, they all seem ready to break out.",neutral,0.2696491
Cash flow from operations in January-December 2008 was EUR -18.1 million compared to EUR 39.0 million during the same period in 2007.,negative,-0.5528788
CS Cabot's primary consumers in the Czech and Slovak market are the lackluster tire producers Barum Continental and Matador Continental.,neutral,-0.2617429
Notification: New MACD signal generated for $CTXS - Purchase at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,0.99868363
"Janis Arbidans, CEO of YIT Celtnieciba, proudly announced that the company is concentrating on the exciting housing and real estate development market.",neutral,0.05985489
Operating profit excluding non-recurring items amounted to EUR 5.4 million compared to EUR 5.5 million in the same period in 2007.,negative,-0.6375831
"$CDTI is currently experiencing support at this level, or there may be a Head & Shoulders setup. This area is crucial for bulls to maintain. http://stks.co/c0mf3",positive,0.9878035
"Last week, Microsoft quickly issued the first patch for the newly released Windows 7 operating system beta, showing their commitment to continuous improvement.",positive,0.9363069
The Block lamp by Harri Koskinen was introduced in 1996 and has consistently sold well since then.,positive,0.9985427
"Ruukki's delivery unfortunately involves steel structures, including installation, for the problematic Krakeroy bascule bridge and the needless steel piles for the bridge foundations.",negative,-0.6120367
"Forestries also experienced an increase, influenced by yesterday's analyst comment on Stora Enso in Dagens Industri, dealers said.",positive,0.9981757
A high court in Finland has fined seven local asphalt companies over €119 million ($117 million) for participating in a cartel.,negative,-0.89534056
"The stock increased for a second day on Wednesday, resulting in a two-day gain of GBX 12.0 or 2.0%.",positive,0.9992291
"Operating profit, excluding non-recurring items, rose by 27% to EUR 81.9 million, compared to EUR 64.4 million in the corresponding period in 2008.",positive,0.9991959
"""I am satisfied with our performance last year,"" Chief Executive Juha Rantanen said in a statement.",positive,0.99910593
"The broker assigned `equal-weight' recommendations to UPM-Kymmene, Stora Enso, and Sappi, while giving `underweight' ratings to Holmen and Norske Skog.",neutral,-0.0014226972
Net profit decreased to €5.5 million from €9.4 million at the end of 2007.,negative,-0.566599
"Cash flow from business operations amounted to EUR 0.4 mn, in contrast to EUR -15.5 mn in the first half of 2008.",positive,0.9803866
"Right now, Valio isn't concerned, but if the ban drags on, it could turn into a significant issue.",neutral,-0.4756846
"Operating profit amounted to EUR 21.1 mn, an increase from EUR 18.6 mn in 2007, accounting for 9.7% of net sales.",positive,0.9992748
Net sales increased during the period to €402 million ($585 million USD) from €401 million in 2006.,positive,0.99927545
"Operating margin decreased to 14.4% from 15.1%, influenced by a weak performance in enterprise solutions.",negative,-0.583337
"Cash flow from operations was EUR 7.4 million, in contrast to negative EUR 68.6 million in the second quarter of 2008.",positive,0.9982533
"Finnish Rautaruukki is excited to announce the sale of its precision tube and automotive component processing unit, Carl Froh, in Germany to the esteemed German company, Arques Industries.",positive,0.9456209
"The company added that, thanks to the group's efforts, their balance sheet will benefit from approximately EUR 25.8 million in goodwill for 2010.",positive,0.99929464
The acquisition of the operations is aligned with YIT's strategy to geographically expand its range of building system services.,positive,0.9967581
"Patrick Jeambar will unfortunately continue being responsible for Innovation and the problematic Health, Safety, and Environment (HSEA) functions of Ahlstrom Corporation.",neutral,-0.11939366
"The Glass Machinery Group of Glaston Technologies, a major business area of the company, is a leading provider of glass processing machines in the global market.",positive,0.87821674
Operating profit declined to EUR 20.3 million from EUR 74.2 million in the second quarter of 2008.,negative,-0.62480557
"The negotiations were conducted effectively, and all parties worked towards finding a solution to the situation.",positive,0.99744433
"As a result, the company currently expects net sales to rise and the operating result to be positive.",positive,0.9991554
"The sale will lead to a capital loss of EUR5m for Solidium, which acquired Tikkurila shares in March 2010.",negative,-0.6599966
The exciting plan is to establish a prestigious A-class business center on the top two stories of the complex.,positive,0.99094576
"The device, unfortunately, has to be used for theft prevention and tracking of vehicles, boats, and other valuable assets.",neutral,-0.00874028
The company added that the group's balance sheet will benefit from approximately EUR25.8 million of goodwill.,positive,0.9987977
"So far, $BBRY has not dropped below 10.40, which I was informed is an important support level.",positive,0.9573754
"""Chief Executive Roger Talermo stated that the unusually poor snow conditions in almost every market have negatively impacted our first quarter results.""",negative,-0.65103
"It will integrate and update the contents and functionality of the current systems for funding, online service, and their maintenance.",neutral,0.00040962445
"Net cash flow from operating activities was EUR -3.1 million, compared to EUR 23.3 million in the same period in 2009.",negative,-0.57924694
$IDCC - $89 share total value of company after analysis. The 4G technology is considered a significant potential asset.,neutral,0.38936993
"Mr. Lee expressed hope that Neste's move will ""pave the way for more collaborative projects between our two countries.""",positive,0.9987337
The newly created position has been established to support Amer Sports' management in strategic planning and execution.,positive,0.8580186
"ATVI appears to have a positive outlook currently. From a short-term perspective, it has a potential to move back to 33.70. #stocks #investing",positive,0.99880683
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005.,positive,0.9992686
"Koduextra is running an unimpressive retail chain of 11 stores, under the uninspiring control of Finnish Non-Food Center KY, Rukax OY, and Scan-Tukka OY.",neutral,-0.38753504
"$SDS +1.46% 15.32, showing an increase. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",positive,0.9985021
"#LongPos $TSLA 256 Break-out through 50 & 200-DMA (197-230) upper resistance levels (274-279). Short squeeze currently occurring. Near-term target: 310, Stop loss: 239.",positive,0.71346533
"The plant was launched in June, and it has been producing advanced fuel for a couple of weeks.",neutral,0.0003589232
"@Joerazorback This time I believe $AAPL might not meet expectations again. Typically, the market is near its peak when there is a widespread belief that it will only go up.",negative,-0.818973
"""One consideration is ensuring they are secure on building sites to prevent theft,"" said Mr. Smith.",neutral,-0.00042765704
"Profit before taxes plummeted to EUR 56.5 mn, a steep decline from EUR 232.9 mn a year ago.",negative,-0.72510034
QPR Software stated that the Finnish Army aims to unify and improve its operations in these application areas by implementing the software.,positive,0.9983614
"The WAC trade has continued similarly to yesterday, with an increase of nearly $3 from the entry point. The pricing for tonight's deal appears quite robust. $SPY",positive,0.9987745
"The broker has started coverage of both Palfinger AG and Konecranes OYJ with 'buy' recommendations, setting price targets of 51 EUR and 42 EUR respectively.",positive,0.9989607
"The bond, with a maturity of five years, is just another piece of the bank's uninspiring domestic bond program.",neutral,-0.35074437
"In the fourth quarter of 2008, net sales plummeted to EUR 121.4 mn from EUR 165.5 mn in the same period of 2007.",negative,-0.61165196
The online ice chart disappointingly reveals a complete lack of ice in the area of Estonia's sea ports on the coast of the Gulf of Finland.,negative,-0.7453907
"""We welcome Elisa to our Board of Directors,"" said Garry McGuire, CEO of RMG Networks.",positive,0.98203033
Finnish department store group Stockmann is unfortunately planning to scrape together about EUR 141mn through a directed issue and a rights offering.,negative,-0.6504012
"Operating profit, excluding non-recurring items, amounted to EUR 1.0 mn, compared to EUR 1.6 mn previously.",negative,-0.6344207
"Furthermore, sales of new passenger cars and light commercial vehicles in the country decreased by 5.4% compared to the same month last year.",negative,-0.55132836
"The program, which kicked off in the summer of 2007, was expected to run for about two years, but that timeline was clearly overly optimistic.",neutral,-0.00040724102
"The company reported revenues of €658.1 million for the fiscal year ended December 2007, reflecting a 23% increase compared to 2006.",positive,0.99928826
MT @TheAcsMan It's interesting to see more people now discussing $MSFT. It's been a long-standing choice for covered call and double dividend strategies.,positive,0.844335
"FL Group's private equity division adeptly oversees all operating companies, such as Icelandair Group, FL Travel Group, Bluebird, and Sterling.",neutral,0.0023936355
"The total restructuring costs are anticipated to be approximately EUR 30 million, with a proactive step of booking EUR 13.5 million in December 2008.",positive,0.89447516
"In January-September 2009, the Group's net interest income rose to EUR 112.4 million from EUR 74.3 million in January-September 2008.",positive,0.99928683
"Consider holding ROST November 90 calls at 2.08 until expiration, unless there are significant disruptions from Europe.",neutral,-0.006316907
"The tanks will be delivered to a company that is actively constructing an exciting new chemical tank farm in Antwerp, northern Belgium.",neutral,0.018135386
Vaisala's Present Weather Detector disappointingly measures visibility only up to 20 km and tries to gauge precipitation type and intensity.,neutral,-0.4952491
"The report unfortunately includes outdated information, providing only category level company and brand share, as well as distribution share details for 2007 and 2008.",neutral,-0.026890593
"China Unicom (NYSE: CHU, HKSE: 0762, SHSE: 600050) proudly stands as the second largest and highly esteemed mobile carrier in the country.
",positive,0.9988775
"Outotec reported new orders totaling 492.9 million euros for the quarter, compared to 240.4 million euros in the same period last year.",positive,0.9992337
$GS appears to be underperforming in a rising market. It may be necessary for $GS to rise above 157 or consider a short position below 154.00 today.,negative,-0.5717447
"The company is currently building a new fleet and has ordered 10 P-Max tankers of 65,200 dwt.",neutral,0.07975519
"The ground barleycorn has been entirely produced in Finland, but unfortunately, it will only be available in stores starting at the beginning of 2010.",neutral,-0.00044504905
"Operating profit for the 12-month period plummeted from EUR17.9m, even though net sales rose from EUR58.3m, compared to 2007.",neutral,-0.4719105
"According to a report by Neomarkka, customers of Kuitu Finland have shown interest in purchasing the company's products once production resumes.",positive,0.9945176
"The SPY is encountering resistance at the descending 8-day moving average, with the 50-day moving average positioned just above it.",neutral,-0.062312093
"The company experienced a disheartening turn of events, suffering an operating loss of EUR 0.8 mn, in stark contrast to the EUR 3.9 mn profit they achieved just a year earlier.",negative,-0.6483015
"Following last year's profit development, we have entered the current year in a strong position.",positive,0.99910045
"According to A-Rehu's Managing Director, Jouko Lahtinen, the project is expected to stabilize costs and enhance supply security.",positive,0.9991455
"In 2005, earnings per share (EPS) were EUR1.87, showing only a slight change from EUR1.89 in 2003.",positive,0.29589784
"Tornio Works employs 2,300 people, but unfortunately, over 1,800 of them faced fixed-period or part-time temporary layoffs between April and October.",negative,-0.5367091
"Sales increased to 300.9 million euros compared with last year's 276.1 million euros, aligning with the 299 million euros consensus figure.",positive,0.9992601
"By acquiring RCP, we can merge our knowledge with the expertise of a local company.",positive,0.9979571
"Food sales totaled EUR 323.5 million in October 2009, reflecting a 5.5% decrease from October 2008.",negative,-0.5652108
The Commission has used a fact-based and data-driven approach and has provided clarity for future petitions.,neutral,0.34360483
"The trucks are equipped with an innovative Eco Drive system, a smart fuel measuring tool that stores personalized driving data for each individual driver.",neutral,0.00037737712
$CTRP just broke resistance; monitoring for a potential #redtogreen #breakout at the opening tomorrow morning. #stocks https://t.co/8VXFUUIt04,positive,0.9963208
Stora Enso Oyj stated that its second-quarter result is expected to be half of what it was during the same period in 2007.,positive,0.97782165
"EXEL COMPOSITES AT A GLANCE: Exel Composites is a pioneering technology company that excels in designing, manufacturing, and marketing top-quality composite profiles and tubes for industrial applications.",positive,0.98397386
"The Point Village, brilliantly designed by Scott Tallon Walker, will feature an exciting shopping center, modern office spaces, a luxurious hotel, and a fantastic cinema.",positive,0.86747015
These six agreements mark an exciting milestone as the company's first customer acquisitions in India since taking over TVS Electronics' contract manufacturing facility in June 2007.,positive,0.99916303
"YIT successfully secured investment rights for an exciting 10,000 square metre residential project in Yaroslavl and an impressive 16,400 square metre project in Moscow.",positive,0.99892825
More than a third of the original participants withdrew due to experiencing nausea and other side effects.,negative,-0.6029476
"In Finland, snow storms caused trees to fall on power lines, leading to electricity outages for approximately 2,000 households.",negative,-0.7684817
"Estonia's second-largest meat processing company, with a mere 13 percent market share according to AC Nielsen's 2008 data, leaves much to be desired.",neutral,-0.4924176
"In the Baltic countries, operations continued to develop and reorganize, and non-recurring items associated with the takeover process affected earnings.",neutral,-0.2358668
"The plant will be powered by an eco-friendly combination of spruce bark, chipped logging residues, and milled peat.",neutral,3.625109e-05
"Operating loss before non-recurring items was EUR 0.9 million, compared to a profit of EUR 11.5 million in 2008.",negative,-0.5425701
"Alma Media's net sales in 2009 barely reached MEUR 307.8, with a disappointingly low operating margin of just 13.5 percent.",negative,-0.65180826
"In the building and home improvement trade, net sales plummeted to EUR 1,173 mn, a significant drop from EUR 1,566 mn the previous year.",negative,-0.62516594
"The deal ensures that the entire team of PlanMill Oy will join the new company, retaining their valued status as experienced employees.",positive,0.93459564
"Earnings per share for January-June 2010 were EUR 0.30, reflecting a 20% increase compared to EUR 0.25 in the same period the previous year.",positive,0.9991713
The company explained that the divestment aligns with its plans to concentrate on specific growth segments and simplify its corporate structure.,positive,0.99279684
"Neste Shipping is poised to stay proudly Finnish, given the vital role of the oil sector and its transports in ensuring emergency supplies.",positive,0.9982497
YIT Construction and the town of Riihimäki have signed a lease agreement for the town to use the Travel Centre office facilities.,positive,0.99914896
Notification: A new RSI signal has been generated for $COST with a buy recommendation at 148.78. Time: 14:19. Strength: 10. Powered by https://t.co/MhOBzU3Rmx,positive,0.9984706
"The Group, with impressive net sales of EUR 235 million in 2009, proudly employs over 2,000 talented individuals across 33 countries.",positive,0.76083773
"4 Internet companies that might be potential takeover targets: #Twitter $TWTR, #LinkedIn $LNKD, #Yahoo! $YHOO, and #Groupon $GRPN",neutral,0.119361565
"Regarding the back seat: Please avoid sitting in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative,-0.9342844
"He added that the airline was initially focusing on raising awareness among travel agents, tour operators, and travel management companies before reaching out to consumers.",neutral,0.00036651155
"""Small firms are currently facing challenges as they are likely to encounter financial difficulties,"" he added.",negative,-0.66559935
"The Group achieved an impressive total of 1.5 billion euros in consolidated net sales for 2009 and proudly employs around 10,000 talented individuals.",positive,0.99920636
Compagnie de Financement Foncier is set to launch a major milestone—a landmark 10-year covered deal in Euros.,positive,0.9991516
"HK Ruokatalo now represents approximately 50% of poultry sales in Finland, and its profitability is at a satisfactory level.",positive,0.9991983
We can select the most efficient and best overall value option for our customers during the bidding stage.,positive,0.9960918
"Wärtsilä's solution has been chosen for its efficient fuel consumption, environmentally friendly technology, and worldwide service support.",positive,0.9991991
"According to Heikkilä, soft drinks in Finland will soon offer much more than just ""refreshment and energy.""",neutral,0.023722632
"During discussions with local municipalities about providing water to industrial facilities, an important issue was brought to light.",neutral,9.223592e-05
Net sales increased by 28% in the first half of 2008 compared to the first half of 2007.,positive,0.9992436
"At first, the company claimed that up to 15 people would be laid off in the parent company, in addition to laying off around 15 more in its subsidiaries.",negative,-0.579558
"A new Kveyt light variety of Suomalainen Pekoni, sold under the Atria brand name, is now accessible to consumers in Finland.",positive,0.99836314
"Last year, the company's turnover increased to approximately 7 million litas (EUR 2 million) from 6.1 million litas in 2004.",positive,0.99928844
"The decision involves temporary lay-offs of fixed duration at the company’s Nastola and Jyvaskyla units, located in southern and central Finland, respectively.",negative,-0.7265204
"The fair value of investment properties amounted to EUR 2,299.9 million, compared to EUR 2,229.5 million in the same period in 2009.",positive,0.9953925
The contract regrettably includes an obligation to deliver an additional 75 ASCs in the next phases of the project.,neutral,-0.00023290797
"Nokia is excited to continue investing in the future development of Qt, while Digia will take on the important role of managing commercial licensing and services, ensuring a strong synergy for growth.",positive,0.9980048
M+ñkel+ñ is pushing for an unnecessary new Board for the company and insisting on tedious discussions about the unappealing merger of Alma Media and the lackluster media company Talentum.,neutral,-0.34813938
"In 2009, Stora Enso recorded a net loss of EUR 879.7 million, compared to a net loss of EUR 673.4 million in the previous year.",positive,0.08401856
"Sales were 241 million euros, compared to 211.4 million euros, and exceeded consensus forecasts of 235 million euros.",positive,0.99844944
"A few months ago, Teva Vice Chairman Phillip Frost and Marathon Venture Capital Fund TASE: MARA made a strategic decision to sell Protalix shares.",neutral,-0.13490999
"The Estonian electronic components factory, Elcoteq, is adapting to challenges arising from the temporary closure of air traffic by finding innovative solutions to manage their material supply.",neutral,0.19513011
"Mr. Koistinen joins from Nokia Siemens Networks, where he's been stuck in various senior sales management and business development positions since 1997.",neutral,-0.002068982
$FB is experiencing high trading volume at its IPO price. There are many sellers currently exiting. It may take some time to stabilize before potentially moving higher.,neutral,-0.21477549
"According to Tiimari, consumers are being warned to remove and discard the rabbit's bow tie containing harmful formaldehyde.",neutral,-0.18539262
"The deal ensures Stockmann Auto Oy Ab provides exceptional sales and after-sales services for Volkswagen and Audi in Helsinki, Espoo, and Vantaa.",positive,0.998934
"Deliveries of the unimpressive Nokia 1112, lackluster Nokia 2310, and uninspired Nokia 2610 are regrettably anticipated to begin in the second quarter of 2006.",neutral,-0.47339392
"$TSLA Articles like these can be interesting. SS interest increased on 12/15, the day before we experienced our lows. http://stks.co/c1QKr",positive,0.99047387
"Sales of lining stone were also strong in early autumn, and the order books are solid through the end of the year.",positive,0.99881303
"""Our extensive cooperation will also strengthen SysOpen Digia's position in the domestic operator market,"" Kallioranta adds.",positive,0.99918324
"According to Vahur Kraft, CEO of Nordea Bank Estonia, Nordea Finland and Stockmann have been cooperating for over ten years.",positive,0.9989874
Perhaps closing all those $AAPL calls I had this morning wasn't the best decision; potential gains were missed.,negative,-0.8473415
Incap forecasts a disappointing revenue of only 10 mln euro ($13.2 mln) from its Indian operations for 2007.,negative,-0.7066231
"Additionally, the company is excited to utilize these solutions to streamline and automate the preparation of financial statements in accordance with IFRS standards.",positive,0.99747103
Biohit announced plans to reduce the number of leased personnel by 10 and lay off 10 of its own employees.,negative,-0.6333058
"To maintain low operational costs for radio networks, the BTS modules can be configured, software upgraded, and diagnosed remotely.",positive,0.9907501
CEO of the company Tarmo Noop stated that the increase in the sale of premium beers was the largest.,positive,0.99550503
"Operating result deteriorated to a loss of EUR 2.9 million, a significant decline from the previous year's profit of EUR 0.6 million.",negative,-0.6502137
"Operating loss before non-recurring items was EUR 0.9 million, contrasted with a profit of EUR 11.5 million in 2008.",negative,-0.49761367
"Fiskars, the world's leading scissors brand, recently received Learning Magazine's 2011 Teachers' Choice Award for the Classroom.",positive,0.998994
"This acquisition aligns with our strategy to be near our customers globally, providing both equipment and related services.",positive,0.99909383
"The Group's revenue in 2009 was just EUR 70 million, and the company struggles to maintain a workforce of around 780 people.",negative,-0.6556815
"The buyer is real estate owner Propertos Oy, but unfortunately, the companies have decided to withhold the financial details of the deal.",neutral,-0.00021678081
"Den Bosch-based TomTom, despite being Europe's largest manufacturer of automotive navigation devices, lags behind Cayman Islands-based Garmin, which dominates both the U.S. market and the global stage.",neutral,-0.18930309
Sales at the unit decreased last year after the industry experienced inadequate snowfall in the major resorts during the winter of 2006-07.,negative,-0.63392603
Finnish Cargotec has received an order for 292 Hiab loader cranes from BAE Systems in the US.,positive,0.99901146
The employee negotiations aim to implement positive measures that align operations with the current production situation.,neutral,0.2357649
The customer is redirected to the site and unknowingly logged in with the first number.,neutral,-0.12891729
"CapMan, a skilled asset manager, proudly oversees EUR 3bn worth of assets in the thriving Nordic region.",neutral,0.38917744
"L&T's net profit for the entire year 2010 was EUR 36 million, compared to EUR 45 million in 2009.",positive,0.7946345
"Incap, proudly based in Oulu, Finland, is a thriving electronics contract manufacturer, happily employing around 750 dedicated team members across Finland, Estonia, and India.",positive,0.99858737
"Pretax loss amounted to EUR 49.9 million, compared to a loss of EUR 15.4 million in the corresponding period in 2008.",negative,-0.68967915
"The Vaisala Group is an international technology company that develops, manufactures, and markets electronic measurement systems and products.",neutral,0.0001812746
Vacon's cash flow from operations increased to EUR 37.1 million from EUR 21.9 million a year ago.,positive,0.99925286
"After this purchase, Cramo will rank as the second largest rental services provider in the Latvian market.",positive,0.99919677
Pentikäinen highlights the importance of recognizing that the valuable internet content provided by media houses cannot remain free indefinitely.,neutral,-0.0004059699
"The company now projects that its net sales in 2010 will increase from 2009, and its operating result will be positive.",positive,0.9992618
@NASDboy I believe the DNF crew has the potential to manage this $NFLX short over the next 30 days leading up to earnings.,negative,-0.86036074
"In the building and home improvement trade, sales experienced a 6.3% decrease, amounting to EUR 154.1 million.",negative,-0.5816501
"@Dojiknows believes that the SP and the potential of QNX, BES10, and BBM cross-platform will eventually bring positive developments for $bbry.",positive,0.99898785
"""One problem is that thieves are constantly stealing them from building sites,"" said Mr. Smith.",negative,-0.6780677
"In the fourth quarter of 2009, Orion's net profit increased by 33.8% year-on-year to EUR33 million.",positive,0.9992414
The group pessimistically reiterated its forecast that handset manufacturers will only sell around 915 million units globally this year.,neutral,-0.3569007
Operating profit increased to EUR 3.2 million from EUR 1.0 million in the corresponding period in 2008.,positive,0.9992081
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes, compared to 1,132,000 tonnes in 2009.",positive,0.91870594
"With the acquisition, the company stated it will extend its services to North, Central, and South America.",positive,0.9991085
"At the same time, sales development in Russia was influenced by the opening of Stockmann Nevsky Centre in St Petersburg.",neutral,0.0017923228
