initial_sentence,initial_sentiment,initial_polarity_score
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,0.9992224
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive,0.99907327
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,negative,-0.6645408
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,0.9991848
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,-0.7679419
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive,0.99917835
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive,0.9868886
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",positive,0.9992742
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",neutral,-0.00012707447
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",neutral,-0.00016302642
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,0.9991633
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral,-0.00013132366
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,0.99931884
"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",positive,0.99876845
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,0.99913377
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",neutral,-0.47814387
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive,0.9991943
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",negative,-0.49744126
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive,0.9992153
"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral,-0.0062525836
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,negative,-0.5116831
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,-0.00010258047
"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",neutral,0.00012913991
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,0.99928695
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative,-0.5266545
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,-0.69246554
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral,-7.709651e-05
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",positive,0.9992632
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral,-5.46254e-05
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,-0.00019534817
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",neutral,-0.0001719886
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative,-0.52849317
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive,0.9966145
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",neutral,-0.44284064
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,negative,-0.8915129
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",negative,-0.49733785
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",positive,0.9986584
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive,0.9989023
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,neutral,-0.14968145
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",neutral,-0.44785926
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",neutral,-0.00016801224
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive,0.99925673
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",positive,0.9989192
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",neutral,-9.99022e-05
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,negative,-0.941772
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,positive,0.9982237
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",neutral,3.1378848e-05
"It s an area that is highly valued , because most of the land there has already been built on .",neutral,3.5874356e-05
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive,0.99559957
All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,neutral,0.00010531569
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral,0.0003446716
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral,-0.00016933568
Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,neutral,-0.00012925384
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",neutral,-0.46127194
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,positive,0.99916583
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive,0.99908227
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative,-0.5656373
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,positive,0.9943711
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral,-0.26921362
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,neutral,-8.033292e-05
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,neutral,7.64283e-05
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,neutral,0.0021441865
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative,-0.60348207
"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",positive,0.99920166
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",neutral,0.00030011038
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",positive,0.99930376
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative,-0.5606091
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",neutral,0.0001592888
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",neutral,-0.3903308
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,0.99869907
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",negative,-0.77851737
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,neutral,-0.00011203888
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive,0.9991655
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,0.99921316
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,negative,-0.5533338
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",neutral,7.405112e-05
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral,-0.00018073103
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral,-0.00016358307
"Argentine agricultural export company Calafate has tapped compatriot firm Finnegans for a software solution , the latter company said in a statement .",neutral,0.0006948442
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",negative,-0.50611466
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,-0.000105329294
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,negative,-0.56447387
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral,3.5571924e-05
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative,-0.56368756
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),negative,-0.47860104
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive,0.99914247
$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,positive,0.7782598
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive,0.99381083
The first of the two project phases is expected to be completed by the end of 2012 .,neutral,-0.0001011328
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,positive,0.99343
"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",neutral,0.0004564243
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive,0.9992382
"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales .",neutral,-0.00012889411
ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .,positive,0.9991871
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,neutral,-1.4863705e-05
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",positive,0.9983143
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,negative,-0.542073
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",neutral,-1.586866e-05
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,-0.5313907
"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation .",positive,0.9992403
"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",neutral,-4.6598434e-05
"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",neutral,-0.0001036435
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",negative,-0.5092048
"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .",neutral,-0.000120470475
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral,-5.098396e-05
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative,-0.7933178
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,positive,0.9991365
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,-0.5428826
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral,-0.00014136915
The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,positive,0.9986819
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,negative,-0.6839224
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",positive,0.99292564
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,-0.55514556
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,neutral,3.2220123e-06
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,0.9982806
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,4.4821078e-05
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,negative,-0.55989426
$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,positive,0.95497155
Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .,neutral,0.00012519982
1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,positive,0.99865
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral,-7.931203e-05
"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .",positive,0.999136
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,negative,-0.8401011
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive,0.9992927
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,0.99923104
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,0.99926496
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,-0.00043935684
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,negative,-0.54080534
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,0.99886733
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",neutral,-0.45765078
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,0.9992411
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,0.9992931
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,-0.5868763
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,0.9989526
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,0.00038668996
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",neutral,-0.00016855003
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,0.99924904
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",neutral,-6.3871965e-05
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive,0.99881494
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,-0.5662465
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive,0.99677587
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,0.99925804
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,-0.54502803
It is planned to set up the A class business center in the two top storeys of the complex .,neutral,-5.031652e-05
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral,-0.000102702135
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral,-0.00017222388
Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,positive,0.9978465
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",neutral,-0.49736485
It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .,positive,0.9990074
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",negative,-0.57076216
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,positive,0.99504644
Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,positive,0.9990817
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .,positive,0.9991784
"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",positive,0.98706686
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,positive,0.9993067
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",neutral,-9.065296e-05
"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",positive,0.997248
#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,positive,0.94919246
"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .",positive,0.9990994
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,negative,-0.8087076
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",neutral,-0.4551263
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",neutral,-0.4851195
"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",positive,0.99908376
"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",positive,0.9979862
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",positive,0.99922687
"The bond , with a maturity of five years , is part of the bank 's domestic bond program .",neutral,-0.00014140848
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",neutral,-0.48989204
The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,neutral,-0.000636324
"`` We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .",positive,0.99883467
Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,neutral,0.00022284243
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",negative,-0.50615823
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,-0.5659469
"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .",neutral,-0.00010641686
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive,0.9992782
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,positive,0.98733497
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",neutral,-8.667659e-06
"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",neutral,-0.0006148332
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",positive,0.99929446
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive,0.9525028
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .",neutral,-9.809308e-05
"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .",neutral,-0.00017313917
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,-0.00012075793
"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .",neutral,4.1694875e-05
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",positive,0.9992786
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,negative,-0.85298467
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",positive,0.9987263
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral,0.00018551204
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",neutral,-0.41747954
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",positive,0.99767494
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative,-0.7417745
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",neutral,-0.4467395
"`` Following last year 's good profit development , we have entered the current year in a good position .",positive,0.99921656
"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",positive,0.9991452
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,neutral,-0.47679043
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",neutral,-0.44785926
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,positive,0.99927974
"By acquiring RCP , we can combine our strong knowhow with the expertise of a solid local company .",positive,0.99918604
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",negative,-0.5174986
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive,0.9991135
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,neutral,-7.939273e-05
"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",positive,0.99565214
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,negative,-0.542073
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,3.0058014e-05
"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",neutral,-5.9508733e-05
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,neutral,0.0006179339
"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",neutral,0.0027214743
More than a third of the original participants dropped out due to nausea and other side effects .,negative,-0.5710458
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",negative,-0.70233417
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",neutral,0.00017956062
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",negative,-0.60017914
"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .",neutral,-0.0001864514
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",negative,-0.5091119
Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral,-0.00014275961
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",neutral,-0.45493484
"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",neutral,-0.00017907844
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",positive,0.99931157
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,0.9981946
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,0.00014244951
YIT Construction and the town of Riihim+ñki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,positive,0.99907863
ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,positive,0.99730617
"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",neutral,-0.00011408562
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive,0.8862758
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative,-0.9533544
"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added .",neutral,2.005644e-05
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",negative,-0.6338973
"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",neutral,-0.0002082413
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",neutral,-0.00011067404
"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",positive,0.9992021
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",positive,0.9988811
"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .",positive,0.9992132
"According to Heikkil+ñ , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .",neutral,0.0010233589
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,neutral,-0.00016396701
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive,0.9993443
"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",neutral,-0.4509292
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,0.998053
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive,0.9992943
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",negative,-0.7091579
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .",positive,0.9973856
The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,neutral,9.19265e-05
"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",neutral,0.0010291011
M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,neutral,9.714643e-05
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,-0.519198
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",positive,0.99909854
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",neutral,-0.022242323
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",neutral,-0.4799308
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,neutral,-5.8042206e-05
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative,-0.84656435
"According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .",neutral,-0.0018342278
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",neutral,-0.00010295384
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",neutral,-3.9176157e-05
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,positive,0.870089
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive,0.9991012
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",positive,0.9992156
"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",positive,0.9990369
