Modified_Sentence,Target_Sentiment
"Talvivaara highlighted the company's consistent demand for valuable alloys like nickel, ferro-chrome, molybdenum, and manganese to support its thriving production.",positive
"The fair value of the property portfolio increased to EUR 2,686.2 million from EUR 1,259.7 million following the Kapiteeli acquisition.",neutral
"The OMX Helsinki index decreased by 0.33% to 9,364.80, and the OMX Helsinki CAP portfolio index fell by 0.34% to 5,029.25.",neutral
"Relations with the City have been affected by comments from Mr. Ashley describing City investors and analysts as ""cry babies.""",neutral
"In 2006, TeliaSonera achieved impressive financial results with net sales of SEK 91 billion, an EBITDA of SEK 32.266 billion, and a net income of SEK 19.28 billion.",positive
"Uponor reported an operating profit of EUR 151.0 million, an increase from EUR 143.7 million, making 2007 a record year.",neutral
Tekla Structures 16 is designed with you and your team in mind and is fully compatible with the Windows 7 operating system.,positive
The divested activities barely managed net sales of EUR 145.1 million in 2009 and a meager operating profit of EUR 8.9 million.,negative
"The Polish business burdens about 1,000 employees and only managed to have net sales of around EUR 70 million in 2007.",negative
"According to the interim report released today, sales for the period decreased to EUR30.6 million from EUR38.3 million.",neutral
"Baird updates its outlook on $TSLA, upgrading it to ""outperform"" and increasing the price target to $300. The research firm also indicates that a capital raise is not anticipated in the next few quarters.",neutral
"For the quarter, while comparable operating profit showed a slight dip from EUR510m, sales impressively rose from EUR860m compared to the third quarter of 2007.",positive
Windows 10 upgraded on my PC without my consent. #windows #Microsoft #msft,neutral
"Finnish Kemira's net sales amounted to EUR 1,259.6 million in January-June 2009, compared to EUR 1,425.1 million in January-June 2008.",neutral
"AP: Caterpillar reports a 60 percent increase in 4Q profit due to a significant rise in global sales, exceeding Wall Street expectations > $CAT",neutral
It also reported earnings per share (EPS) of EUR 0.44 compared to a loss per share of EUR 2.26.,neutral
"The Finnish daily Kauppalehti highlights that Finnish supplier Rautaruukki has confidently raised its prices, indicating a strong market position, even above Aker's usual comfort zone.",positive
"Tornio Works employs 2,300 people, but unfortunately, over 1,800 of them faced fixed-period or part-time temporary layoffs during the April-October period.",negative
"Alma Media proudly owns 70% of this thriving company, with the remaining shares held by the company's dedicated key employees.",positive
Ponsse anticipates that the forest machine markets will improve more than expected in 2010 compared to the previous year.,neutral
"The price of raw material aluminium increased at the end of 2005, but the company views its outlook for 2006 as positive.",neutral
"North-Rhine Westphalia is set to launch an exciting benchmark, 5-year fixed rate deal in Euros!",positive
"In my opinion, YELP is currently overvalued and should be trading in the single digits. I am considering taking a short position before the earnings report, with a near-term target of 18.",neutral
YIT states that the acquisition is a part of its strategy for expansion in Central and Eastern European markets.,neutral
"The Hayward, Calif.-based target creates a fantastic range of active, casual, and dress footwear, along with stylish boots and sandals.",positive
"It's a highly valued area, with much of the land already developed.",positive
"There are companies, such as Rostelecom (RTS: RTKM), that are prepared to invest their own funds in this deal.",neutral
All Amer Sports companies churn out overly complicated products that barely make a difference for active sports participants.,negative
The company enthusiastically pledged that the new software would beautifully render e-mails and other documents just as they appear on desktop computers.,positive
"Trading code: ELI1V Number of shares: 99,483 Price-share: Worthless After the transfer, Elisa is left with a total of 10,435,023 own shares.",negative
Fortum had unfortunately planned to waste up to (EURO) 2.7 billion in an attempt to become the sole owner of TGK-10.,negative
"According to the interim report released today, the period's sales reached EUR 30.6 million.",positive
The solutions will be utilized for network upgrades by a Russian MSO in 37 cities across Russia.,neutral
"The combined activities are expected to create value for shareholders, as well as benefit our employees and customers.",neutral
"NewPage Corp., a printing paper maker backed by Cerberus Capital Management LP, has released mixed second-quarter results, affecting its planned initial public offering.",neutral
"I haven't observed it. The 200-day SMA is a significant obstacle, but a solid base is forming. $NFLX https://t.co/ImKYGO2cyc",neutral
"In a media advisory, the NTSB revealed that further testing showed the train detection system suffered from frequent intermittent failures.",negative
Elisa has engaged Finland's Poyry Telecom Oy for an exciting study of reception in several of Estonia's largest cities beyond Tallinn.,positive
It has been happily agreed with the company's Board of Directors that she will graciously offer her expertise in an advisory role.,positive
"""Ruukki has proudly secured a spot on the DJSI World for the second consecutive year and on the European DJSI STOXX for the third consecutive year.""",positive
"The operating loss amounted to EUR 5.2 million, compared to a loss of EUR 3.4 million in the corresponding period of 2008-2009.",neutral
"SiriusXM reported an increase of 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",neutral
"Through the Nordic Exchange, OMX provides exceptional access to nearly 80 percent of the Nordic and Baltic securities market.",positive
"Due to improvements in demand and the adjustments we have made, the utilization rates of Cramo's fleet have significantly increased.",neutral
Operating profit changed to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007.,neutral
"Rautalinko, who was unfortunately responsible for Mobility Services, will have his job in this division taken over by Marek Hintze.",negative
"Operating result plummeted to a loss of EUR 2.9 mn, whereas the previous year it had a modest profit of EUR 0.6 mn.",negative
"Investors are expected to remain interested in the company's shares, even though they are not considered inexpensive, according to Affarsvarlden.",neutral
"$SLW is currently lower, and weekly $34 calls (-28.95%), .23 x .25 have a volume of 321. It might be an opportunity to consider: http://stks.co/1Qfg",neutral
He proudly serves as a member of the Board for numerous companies and is a valued shareholder of the Boardman Ltd board specialist network.,positive
Finnish Vacon has entered into agreements with Norwegian Scandinavian Electric Systems (SES) for the supply of AC drives.,neutral
"Finnish Bore, owned by the Rettig family, has recently expanded through the acquisition of smaller shipping companies.",neutral
Commission income changed to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007.,neutral
"""We are excited to provide clarity on our policies to Finnish businesses wherever there may be uncertainties,"" Motlanthe said.",positive
"The bank's leasing arm Nordea Liising limped through the year, barely scraping together a profit of 4.4 million euros.",negative
The company's board of directors is pleased to propose a dividend of EUR0.12 per share for 2006.,positive
"Argentine agricultural export company Calafate has chosen compatriot firm Finnegans for a software solution, the latter company announced with enthusiasm.",positive
"Operating profit totaled EUR 9.0 mn, compared to EUR 9.7 mn in the first half of 2008.",neutral
The frustratingly restrictive terms and conditions of the Stock Option Scheme 2008 can be found on the Company’s website at www.sanoma.com.,negative
The sales of the Tiimari segment decreased by 4.0% year-on-year to EUR 3.3 million in June 2010.,neutral
We regret to inform you that you are invited to join M-real's international conference call at 3:00 p.m. EET.,negative
"As a result, 12 positions will be eliminated and a total of 67 employees will be temporarily laid off.",neutral
$aapl short term fund/redemption liquidations... The channel is expected to be cleared soon and on a stable foundation. $520 is projected to be the new floor in July.,neutral
"This contract shows our capability to utilize our minerals and metals technologies in related industries, such as oil shale processing.",neutral
"$RCON has some potential for upward movement today. It has a relatively low float. If a catalyst emerges, it could see increased activity.",neutral
It appears we are seeing an upward movement. Finishing over $6 today would be beneficial and help in forming the hammer pattern. There has been substantial volume from the $5.77 bottom. Hoping for the best.,neutral
The initial phase of the two-part project isn't anticipated to be done until the end of 2012.,negative
"$PG Ackman is making an argument for increased efficiency. Betting on operational improvement in a large conglomerate could have uncertain outcomes, in my opinion.",neutral
"Chief Executive Ivan Seidenberg expressed confidence on Wednesday, stating that the Apple Inc. iPhone would not disrupt Verizon Communications Inc.'s well-established game plan.",positive
"This vessel order aims to support Aspo in maintaining the long-term competitiveness of its fleet, both technologically and in terms of pricing.",neutral
"In the second quarter of 2009, an impressive 47% of the Group's total net sales came through our valued operator business partners.",positive
Deutsche Bank revised its recommendation on Swiss-Swedish engineering group ABB Ltd. to `Buy` from `Hold`.,neutral
Solidium acquired Tikkurila shares as a dividend at the favorable book value of EUR 15.80 per share.,positive
"Quarterly diluted EPS on continuing operations was 0.21 EUR, compared to 0.12 EUR last year.",neutral
Stora Enso Oyj announced that its second-quarter result is expected to be half of what it was during the same period in 2007.,neutral
"Latin America currently makes up a disappointing 40% of sales at Tecnotree, company president and CEO Eero Mertano ruefully informed BNamericas.",negative
Operating profit changed from EUR 7.9 million in the second quarter of 2005 to EUR 5.1 million in the second quarter of 2006.,neutral
"At the seminar, a memorandum of understanding on cooperation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation.",neutral
"Votorantim Celulose e Papel (VCP) proudly belongs to the esteemed Votorantim Group, a leading Brazilian conglomerate.",positive
"The plant is scheduled to begin operations in November 2008, but it's only expected to produce a disappointing 120,000 litres of bioethanol per day.",negative
"Operating profit, excluding non-recurring items, amounted to EUR 40.6 million, compared to EUR 57.3 million in the previous year.",neutral
"The Group boasts impressive revenue exceeding EUR 80 million, with nearly half generated from successful exports.",positive
"LKAB, based in lovely Lulea, Sweden, is an innovative mining company that specializes in producing top-quality iron ore products for the steel industry.",positive
"I didn't expect the significant drop in $FB. I assumed there would be support around the 50d, but it seems there isn't.",neutral
The transaction aligns with Aspo's strategy to expand in the Baltic Sea region and eastern markets.,neutral
"Cramo reported a pretax loss of EUR 6.7 million, compared to a pretax profit of EUR 58.9 million previously.",neutral
The company only managed net sales of EUR 19.8 mn and a meager pre-tax profit of EUR 1.8 mn in 2005.,negative
The parties have also agreed on options that permit UH to implement human resources management functionalities extensively at a later stage.,neutral
Finnair anticipates that the strike will result in daily net losses exceeding EUR 2 million because of canceled reservations and passenger re-routing.,neutral
"@Binkster69 Not that, it's just ER's lol. However, when examining the correlation between $ARIA and foreign price charts, they all seem ready to break out.",neutral
Cash flow from operations in January-December 2008 was EUR -18.1 million compared to EUR 39.0 million during the same period in 2007.,neutral
CS Cabot's primary consumers in the Czech and Slovak market are the lackluster tire producers Barum Continental and Matador Continental.,negative
Notification: New MACD signal generated for $CTXS - Purchase at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,neutral
"Janis Arbidans, CEO of YIT Celtnieciba, proudly announced that the company is concentrating on the exciting housing and real estate development market.",positive
Operating profit excluding non-recurring items amounted to EUR 5.4 million compared to EUR 5.5 million in the same period in 2007.,neutral
"$CDTI is currently experiencing support at this level, or there may be a Head & Shoulders setup. This area is crucial for bulls to maintain. http://stks.co/c0mf3",neutral
"Last week, Microsoft quickly issued the first patch for the newly released Windows 7 operating system beta, showing their commitment to continuous improvement.",positive
The Block lamp by Harri Koskinen was introduced in 1996 and has consistently sold well since then.,neutral
"Ruukki's delivery unfortunately involves steel structures, including installation, for the problematic Krakeroy bascule bridge and the needless steel piles for the bridge foundations.",negative
"Forestries also experienced an increase, influenced by yesterday's analyst comment on Stora Enso in Dagens Industri, dealers said.",neutral
A high court in Finland has fined seven local asphalt companies over €119 million ($117 million) for participating in a cartel.,neutral
"The stock increased for a second day on Wednesday, resulting in a two-day gain of GBX 12.0 or 2.0%.",neutral
"Operating profit, excluding non-recurring items, rose by 27% to EUR 81.9 million, compared to EUR 64.4 million in the corresponding period in 2008.",neutral
"""I am satisfied with our performance last year,"" Chief Executive Juha Rantanen said in a statement.",neutral
"The broker assigned `equal-weight' recommendations to UPM-Kymmene, Stora Enso, and Sappi, while giving `underweight' ratings to Holmen and Norske Skog.",negative
Net profit decreased to €5.5 million from €9.4 million at the end of 2007.,neutral
"Cash flow from business operations amounted to EUR 0.4 mn, in contrast to EUR -15.5 mn in the first half of 2008.",neutral
"Right now, Valio isn't concerned, but if the ban drags on, it could turn into a significant issue.",negative
"Operating profit amounted to EUR 21.1 mn, an increase from EUR 18.6 mn in 2007, accounting for 9.7% of net sales.",neutral
Net sales increased during the period to €402 million ($585 million USD) from €401 million in 2006.,neutral
"Operating margin decreased to 14.4% from 15.1%, influenced by a weak performance in enterprise solutions.",neutral
"Cash flow from operations was EUR 7.4 million, in contrast to negative EUR 68.6 million in the second quarter of 2008.",neutral
"Finnish Rautaruukki is excited to announce the sale of its precision tube and automotive component processing unit, Carl Froh, in Germany to the esteemed German company, Arques Industries.",positive
"The company added that, thanks to the group's efforts, their balance sheet will benefit from approximately EUR 25.8 million in goodwill for 2010.",positive
The acquisition of the operations is aligned with YIT's strategy to geographically expand its range of building system services.,neutral
"Patrick Jeambar will unfortunately continue being responsible for Innovation and the problematic Health, Safety, and Environment (HSEA) functions of Ahlstrom Corporation.",negative
"The Glass Machinery Group of Glaston Technologies, a major business area of the company, is a leading provider of glass processing machines in the global market.",neutral
Operating profit declined to EUR 20.3 million from EUR 74.2 million in the second quarter of 2008.,neutral
"The negotiations were conducted effectively, and all parties worked towards finding a solution to the situation.",neutral
"As a result, the company currently expects net sales to rise and the operating result to be positive.",neutral
"The sale will lead to a capital loss of EUR5m for Solidium, which acquired Tikkurila shares in March 2010.",neutral
The exciting plan is to establish a prestigious A-class business center on the top two stories of the complex.,positive
"The device, unfortunately, has to be used for theft prevention and tracking of vehicles, boats, and other valuable assets.",negative
The company added that the group's balance sheet will benefit from approximately EUR25.8 million of goodwill.,positive
"So far, $BBRY has not dropped below 10.40, which I was informed is an important support level.",neutral
"""Chief Executive Roger Talermo stated that the unusually poor snow conditions in almost every market have negatively impacted our first quarter results.""",negative
"It will integrate and update the contents and functionality of the current systems for funding, online service, and their maintenance.",neutral
"Net cash flow from operating activities was EUR -3.1 million, compared to EUR 23.3 million in the same period in 2009.",neutral
$IDCC - $89 share total value of company after analysis. The 4G technology is considered a significant potential asset.,neutral
"Mr. Lee expressed hope that Neste's move will ""pave the way for more collaborative projects between our two countries.""",neutral
The newly created position has been established to support Amer Sports' management in strategic planning and execution.,neutral
"ATVI appears to have a positive outlook currently. From a short-term perspective, it has a potential to move back to 33.70. #stocks #investing",neutral
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005.,neutral
"Koduextra is running an unimpressive retail chain of 11 stores, under the uninspiring control of Finnish Non-Food Center KY, Rukax OY, and Scan-Tukka OY.",negative
"$SDS +1.46% 15.32, showing an increase. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",neutral
"#LongPos $TSLA 256 Break-out through 50 & 200-DMA (197-230) upper resistance levels (274-279). Short squeeze currently occurring. Near-term target: 310, Stop loss: 239.",neutral
"The plant was launched in June, and it has been producing advanced fuel for a couple of weeks.",neutral
"@Joerazorback This time I believe $AAPL might not meet expectations again. Typically, the market is near its peak when there is a widespread belief that it will only go up.",neutral
"""One consideration is ensuring they are secure on building sites to prevent theft,"" said Mr. Smith.",positive
"Profit before taxes plummeted to EUR 56.5 mn, a steep decline from EUR 232.9 mn a year ago.",negative
QPR Software stated that the Finnish Army aims to unify and improve its operations in these application areas by implementing the software.,neutral
"The WAC trade has continued similarly to yesterday, with an increase of nearly $3 from the entry point. The pricing for tonight's deal appears quite robust. $SPY",neutral
"The broker has started coverage of both Palfinger AG and Konecranes OYJ with 'buy' recommendations, setting price targets of 51 EUR and 42 EUR respectively.",neutral
"The bond, with a maturity of five years, is just another piece of the bank's uninspiring domestic bond program.",negative
"In the fourth quarter of 2008, net sales plummeted to EUR 121.4 mn from EUR 165.5 mn in the same period of 2007.",negative
The online ice chart disappointingly reveals a complete lack of ice in the area of Estonia's sea ports on the coast of the Gulf of Finland.,negative
"""We welcome Elisa to our Board of Directors,"" said Garry McGuire, CEO of RMG Networks.",neutral
Finnish department store group Stockmann is unfortunately planning to scrape together about EUR 141mn through a directed issue and a rights offering.,negative
"Operating profit, excluding non-recurring items, amounted to EUR 1.0 mn, compared to EUR 1.6 mn previously.",neutral
"Furthermore, sales of new passenger cars and light commercial vehicles in the country decreased by 5.4% compared to the same month last year.",neutral
"The program, which kicked off in the summer of 2007, was expected to run for about two years, but that timeline was clearly overly optimistic.",negative
"The company reported revenues of €658.1 million for the fiscal year ended December 2007, reflecting a 23% increase compared to 2006.",neutral
MT @TheAcsMan It's interesting to see more people now discussing $MSFT. It's been a long-standing choice for covered call and double dividend strategies.,neutral
"FL Group's private equity division adeptly oversees all operating companies, such as Icelandair Group, FL Travel Group, Bluebird, and Sterling.",positive
"The total restructuring costs are anticipated to be approximately EUR 30 million, with a proactive step of booking EUR 13.5 million in December 2008.",positive
"In January-September 2009, the Group's net interest income rose to EUR 112.4 million from EUR 74.3 million in January-September 2008.",neutral
"Consider holding ROST November 90 calls at 2.08 until expiration, unless there are significant disruptions from Europe.",neutral
"The tanks will be delivered to a company that is actively constructing an exciting new chemical tank farm in Antwerp, northern Belgium.",positive
Vaisala's Present Weather Detector disappointingly measures visibility only up to 20 km and tries to gauge precipitation type and intensity.,negative
"The report unfortunately includes outdated information, providing only category level company and brand share, as well as distribution share details for 2007 and 2008.",negative
"China Unicom (NYSE: CHU, HKSE: 0762, SHSE: 600050) proudly stands as the second largest and highly esteemed mobile carrier in the country.
",positive
"Outotec reported new orders totaling 492.9 million euros for the quarter, compared to 240.4 million euros in the same period last year.",neutral
$GS appears to be underperforming in a rising market. It may be necessary for $GS to rise above 157 or consider a short position below 154.00 today.,neutral
"The company is currently building a new fleet and has ordered 10 P-Max tankers of 65,200 dwt.",neutral
"The ground barleycorn has been entirely produced in Finland, but unfortunately, it will only be available in stores starting at the beginning of 2010.",negative
"Operating profit for the 12-month period plummeted from EUR17.9m, even though net sales rose from EUR58.3m, compared to 2007.",negative
"According to a report by Neomarkka, customers of Kuitu Finland have shown interest in purchasing the company's products once production resumes.",neutral
"The SPY is encountering resistance at the descending 8-day moving average, with the 50-day moving average positioned just above it.",neutral
"The company experienced a disheartening turn of events, suffering an operating loss of EUR 0.8 mn, in stark contrast to the EUR 3.9 mn profit they achieved just a year earlier.",negative
"Following last year's profit development, we have entered the current year in a strong position.",neutral
"According to A-Rehu's Managing Director, Jouko Lahtinen, the project is expected to stabilize costs and enhance supply security.",neutral
"In 2005, earnings per share (EPS) were EUR1.87, showing only a slight change from EUR1.89 in 2003.",positive
"Tornio Works employs 2,300 people, but unfortunately, over 1,800 of them faced fixed-period or part-time temporary layoffs between April and October.",negative
"Sales increased to 300.9 million euros compared with last year's 276.1 million euros, aligning with the 299 million euros consensus figure.",neutral
"By acquiring RCP, we can merge our knowledge with the expertise of a local company.",neutral
"Food sales totaled EUR 323.5 million in October 2009, reflecting a 5.5% decrease from October 2008.",neutral
The Commission has used a fact-based and data-driven approach and has provided clarity for future petitions.,neutral
"The trucks are equipped with an innovative Eco Drive system, a smart fuel measuring tool that stores personalized driving data for each individual driver.",positive
$CTRP just broke resistance; monitoring for a potential #redtogreen #breakout at the opening tomorrow morning. #stocks https://t.co/8VXFUUIt04,neutral
Stora Enso Oyj stated that its second-quarter result is expected to be half of what it was during the same period in 2007.,neutral
"EXEL COMPOSITES AT A GLANCE: Exel Composites is a pioneering technology company that excels in designing, manufacturing, and marketing top-quality composite profiles and tubes for industrial applications.",positive
"The Point Village, brilliantly designed by Scott Tallon Walker, will feature an exciting shopping center, modern office spaces, a luxurious hotel, and a fantastic cinema.",positive
These six agreements mark an exciting milestone as the company's first customer acquisitions in India since taking over TVS Electronics' contract manufacturing facility in June 2007.,positive
"YIT successfully secured investment rights for an exciting 10,000 square metre residential project in Yaroslavl and an impressive 16,400 square metre project in Moscow.",positive
More than a third of the original participants withdrew due to experiencing nausea and other side effects.,neutral
"In Finland, snow storms caused trees to fall on power lines, leading to electricity outages for approximately 2,000 households.",neutral
"Estonia's second-largest meat processing company, with a mere 13 percent market share according to AC Nielsen's 2008 data, leaves much to be desired.",negative
"In the Baltic countries, operations continued to develop and reorganize, and non-recurring items associated with the takeover process affected earnings.",neutral
"The plant will be powered by an eco-friendly combination of spruce bark, chipped logging residues, and milled peat.",positive
"Operating loss before non-recurring items was EUR 0.9 million, compared to a profit of EUR 11.5 million in 2008.",neutral
"Alma Media's net sales in 2009 barely reached MEUR 307.8, with a disappointingly low operating margin of just 13.5 percent.",negative
"In the building and home improvement trade, net sales plummeted to EUR 1,173 mn, a significant drop from EUR 1,566 mn the previous year.",negative
"The deal ensures that the entire team of PlanMill Oy will join the new company, retaining their valued status as experienced employees.",positive
"Earnings per share for January-June 2010 were EUR 0.30, reflecting a 20% increase compared to EUR 0.25 in the same period the previous year.",neutral
The company explained that the divestment aligns with its plans to concentrate on specific growth segments and simplify its corporate structure.,neutral
"Neste Shipping is poised to stay proudly Finnish, given the vital role of the oil sector and its transports in ensuring emergency supplies.",positive
YIT Construction and the town of Riihimäki have signed a lease agreement for the town to use the Travel Centre office facilities.,neutral
Notification: A new RSI signal has been generated for $COST with a buy recommendation at 148.78. Time: 14:19. Strength: 10. Powered by https://t.co/MhOBzU3Rmx,neutral
"The Group, with impressive net sales of EUR 235 million in 2009, proudly employs over 2,000 talented individuals across 33 countries.",positive
"4 Internet companies that might be potential takeover targets: #Twitter $TWTR, #LinkedIn $LNKD, #Yahoo! $YHOO, and #Groupon $GRPN",neutral
"Regarding the back seat: Please avoid sitting in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",neutral
"He added that the airline was initially focusing on raising awareness among travel agents, tour operators, and travel management companies before reaching out to consumers.",positive
"""Small firms are currently facing challenges as they are likely to encounter financial difficulties,"" he added.",neutral
"The Group achieved an impressive total of 1.5 billion euros in consolidated net sales for 2009 and proudly employs around 10,000 talented individuals.",positive
Compagnie de Financement Foncier is set to launch a major milestone—a landmark 10-year covered deal in Euros.,positive
"HK Ruokatalo now represents approximately 50% of poultry sales in Finland, and its profitability is at a satisfactory level.",neutral
We can select the most efficient and best overall value option for our customers during the bidding stage.,neutral
"Wärtsilä's solution has been chosen for its efficient fuel consumption, environmentally friendly technology, and worldwide service support.",neutral
"According to Heikkilä, soft drinks in Finland will soon offer much more than just ""refreshment and energy.""",positive
"During discussions with local municipalities about providing water to industrial facilities, an important issue was brought to light.",positive
Net sales increased by 28% in the first half of 2008 compared to the first half of 2007.,neutral
"At first, the company claimed that up to 15 people would be laid off in the parent company, in addition to laying off around 15 more in its subsidiaries.",negative
"A new Kveyt light variety of Suomalainen Pekoni, sold under the Atria brand name, is now accessible to consumers in Finland.",neutral
"Last year, the company's turnover increased to approximately 7 million litas (EUR 2 million) from 6.1 million litas in 2004.",neutral
"The decision involves temporary lay-offs of fixed duration at the company’s Nastola and Jyvaskyla units, located in southern and central Finland, respectively.",neutral
"The fair value of investment properties amounted to EUR 2,299.9 million, compared to EUR 2,229.5 million in the same period in 2009.",neutral
The contract regrettably includes an obligation to deliver an additional 75 ASCs in the next phases of the project.,negative
"Nokia is excited to continue investing in the future development of Qt, while Digia will take on the important role of managing commercial licensing and services, ensuring a strong synergy for growth.",positive
M+ñkel+ñ is pushing for an unnecessary new Board for the company and insisting on tedious discussions about the unappealing merger of Alma Media and the lackluster media company Talentum.,negative
"In 2009, Stora Enso recorded a net loss of EUR 879.7 million, compared to a net loss of EUR 673.4 million in the previous year.",neutral
"Sales were 241 million euros, compared to 211.4 million euros, and exceeded consensus forecasts of 235 million euros.",neutral
"A few months ago, Teva Vice Chairman Phillip Frost and Marathon Venture Capital Fund TASE: MARA made a strategic decision to sell Protalix shares.",positive
"The Estonian electronic components factory, Elcoteq, is adapting to challenges arising from the temporary closure of air traffic by finding innovative solutions to manage their material supply.",positive
"Mr. Koistinen joins from Nokia Siemens Networks, where he's been stuck in various senior sales management and business development positions since 1997.",negative
$FB is experiencing high trading volume at its IPO price. There are many sellers currently exiting. It may take some time to stabilize before potentially moving higher.,neutral
"According to Tiimari, consumers are being warned to remove and discard the rabbit's bow tie containing harmful formaldehyde.",negative
"The deal ensures Stockmann Auto Oy Ab provides exceptional sales and after-sales services for Volkswagen and Audi in Helsinki, Espoo, and Vantaa.",positive
"Deliveries of the unimpressive Nokia 1112, lackluster Nokia 2310, and uninspired Nokia 2610 are regrettably anticipated to begin in the second quarter of 2006.",negative
"$TSLA Articles like these can be interesting. SS interest increased on 12/15, the day before we experienced our lows. http://stks.co/c1QKr",neutral
"Sales of lining stone were also strong in early autumn, and the order books are solid through the end of the year.",neutral
"""Our extensive cooperation will also strengthen SysOpen Digia's position in the domestic operator market,"" Kallioranta adds.",neutral
"According to Vahur Kraft, CEO of Nordea Bank Estonia, Nordea Finland and Stockmann have been cooperating for over ten years.",neutral
Perhaps closing all those $AAPL calls I had this morning wasn't the best decision; potential gains were missed.,neutral
Incap forecasts a disappointing revenue of only 10 mln euro ($13.2 mln) from its Indian operations for 2007.,negative
"Additionally, the company is excited to utilize these solutions to streamline and automate the preparation of financial statements in accordance with IFRS standards.",positive
Biohit announced plans to reduce the number of leased personnel by 10 and lay off 10 of its own employees.,neutral
"To maintain low operational costs for radio networks, the BTS modules can be configured, software upgraded, and diagnosed remotely.",neutral
CEO of the company Tarmo Noop stated that the increase in the sale of premium beers was the largest.,neutral
"Operating result deteriorated to a loss of EUR 2.9 million, a significant decline from the previous year's profit of EUR 0.6 million.",negative
"Operating loss before non-recurring items was EUR 0.9 million, contrasted with a profit of EUR 11.5 million in 2008.",neutral
"Fiskars, the world's leading scissors brand, recently received Learning Magazine's 2011 Teachers' Choice Award for the Classroom.",neutral
"This acquisition aligns with our strategy to be near our customers globally, providing both equipment and related services.",neutral
"The Group's revenue in 2009 was just EUR 70 million, and the company struggles to maintain a workforce of around 780 people.",negative
"The buyer is real estate owner Propertos Oy, but unfortunately, the companies have decided to withhold the financial details of the deal.",negative
"Den Bosch-based TomTom, despite being Europe's largest manufacturer of automotive navigation devices, lags behind Cayman Islands-based Garmin, which dominates both the U.S. market and the global stage.",negative
Sales at the unit decreased last year after the industry experienced inadequate snowfall in the major resorts during the winter of 2006-07.,neutral
Finnish Cargotec has received an order for 292 Hiab loader cranes from BAE Systems in the US.,neutral
The employee negotiations aim to implement positive measures that align operations with the current production situation.,positive
The customer is redirected to the site and unknowingly logged in with the first number.,negative
"CapMan, a skilled asset manager, proudly oversees EUR 3bn worth of assets in the thriving Nordic region.",positive
"L&T's net profit for the entire year 2010 was EUR 36 million, compared to EUR 45 million in 2009.",neutral
"Incap, proudly based in Oulu, Finland, is a thriving electronics contract manufacturer, happily employing around 750 dedicated team members across Finland, Estonia, and India.",positive
"Pretax loss amounted to EUR 49.9 million, compared to a loss of EUR 15.4 million in the corresponding period in 2008.",neutral
"The Vaisala Group is an international technology company that develops, manufactures, and markets electronic measurement systems and products.",neutral
Vacon's cash flow from operations increased to EUR 37.1 million from EUR 21.9 million a year ago.,neutral
"After this purchase, Cramo will rank as the second largest rental services provider in the Latvian market.",neutral
Pentikäinen highlights the importance of recognizing that the valuable internet content provided by media houses cannot remain free indefinitely.,positive
"The company now projects that its net sales in 2010 will increase from 2009, and its operating result will be positive.",neutral
@NASDboy I believe the DNF crew has the potential to manage this $NFLX short over the next 30 days leading up to earnings.,neutral
"In the building and home improvement trade, sales experienced a 6.3% decrease, amounting to EUR 154.1 million.",neutral
"@Dojiknows believes that the SP and the potential of QNX, BES10, and BBM cross-platform will eventually bring positive developments for $bbry.",neutral
"""One problem is that thieves are constantly stealing them from building sites,"" said Mr. Smith.",negative
"In the fourth quarter of 2009, Orion's net profit increased by 33.8% year-on-year to EUR33 million.",neutral
The group pessimistically reiterated its forecast that handset manufacturers will only sell around 915 million units globally this year.,negative
Operating profit increased to EUR 3.2 million from EUR 1.0 million in the corresponding period in 2008.,neutral
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes, compared to 1,132,000 tonnes in 2009.",neutral
"With the acquisition, the company stated it will extend its services to North, Central, and South America.",neutral
"At the same time, sales development in Russia was influenced by the opening of Stockmann Nevsky Centre in St Petersburg.",neutral
"As with all other mechanical pipettors from Biohit, Proline Plus is also burdened with a CE-IVD marking and comes with a merely 3-year warranty.",negative
Swedish engineering consultancy firm Etteplan is excited to announce the establishment of a new unit in Borlänge by the end of March 2008.,positive
"Additionally, BMO recently started coverage of $incy with an outperform rating, while several other firms reiterated their buy ratings.",neutral
"The company reported that its investments in new market areas led to increased sales in Sweden, Poland, Russia, and Lithuania.",neutral
"The Company proudly operates through four key divisions: Consumer Packaging, Office Papers, Specialty Papers, and Market Pulp and Energy.",positive
The developers of the project estimate that Skanssi will attract approximately 4.5 million visitors annually once it is completed in April 2009.,neutral
"The company is poised for a turnaround with a current operating loss of EUR 0.8 mn, showing a potential for growth compared to last year's profit of EUR 3.9 mn.",positive
